obs,desest
1949M01,127.414862566069
1949M02,126.382422986851
1949M03,124.117669686778
1949M04,128.116594319331
1949M05,127.555022597784
1949M06,124.178897439998
1949M07,120.341605222072
1949M08,118.152111795892
1949M09,124.652767773478
1949M10,131.189321294735
1949M11,135.514938052903
1949M12,132.035810586229
1950M01,129.991650194484
1950M02,136.212669846006
1950M03,132.774671525394
1950M04,135.863084490588
1950M05,131.614075461275
1950M06,136.621425759701
1950M07,140.292571959629
1950M08,138.494018778244
1950M09,146.59371265991
1950M10,145.542097378403
1950M11,146.556702120781
1950M12,154.668570868631
1951M01,160.098800621805
1951M02,164.268919591746
1951M03,169.222420654305
1951M04,166.540430107391
1951M05,177.554542140292
1951M06,163.279613966999
1951M07,165.022859004089
1951M08,163.909992087429
1951M09,172.736216600666
1951M10,174.812467885578
1951M11,180.417123040098
1951M12,182.229984417683
1952M01,187.252028345998
1952M02,200.740266275191
1952M03,184.962308292128
1952M04,186.982201145138
1952M05,187.702359342668
1952M06,199.112895967739
1952M07,188.39007163813
1952M08,201.255762076131
1952M09,197.646839673162
1952M10,204.698988496129
1952M11,210.234174756596
1952M12,213.275415367564
1953M01,214.59898948849
1953M02,223.413420137173
1953M03,229.996931045264
1953M04,242.146505829161
1953M05,232.589646560466
1953M06,220.514395470043
1953M07,212.308409390589
1953M08,224.637375146882
1953M09,224.198271839044
1953M10,226.226996346725
1953M11,223.774498237645
1953M12,223.753708819791
1954M01,225.153552162394
1954M02,221.47262590531
1954M03,232.98187431198
1954M04,235.015431328916
1954M05,238.704808909738
1954M06,235.846314511141
1954M07,238.775715338543
1954M08,237.669344531961
1954M09,243.20538682267
1954M10,247.379762075485
1954M11,253.890893129289
1954M12,255.603215198474
1955M01,265.959305485031
1955M02,271.277096784116
1955M03,268.904034516594
1955M04,278.756777237055
1955M05,277.309862123975
1955M06,280.404830802791
1955M07,289.811236331656
1955M08,281.58255867259
1955M09,292.140637081197
1955M10,296.040889907306
1955M11,295.432005961537
1955M12,308.087787046494
1956M01,311.255521038399
1956M02,320.721433382318
1956M03,322.118782143598
1956M04,326.567450283057
1956M05,328.076236164834
1956M06,331.309027708142
1956M07,328.39989160202
1956M08,327.985066675103
1956M09,332.21915671602
1956M10,331.266530444807
1956M11,336.246863497373
1956M12,340.371459809395
1957M01,346.171185798718
1957M02,351.120009277606
1957M03,362.562406487701
1957M04,365.545988706417
1957M05,365.665865603954
1957M06,373.753631101457
1957M07,370.41677349263
1957M08,377.981622608219
1957M09,379.294019776885
1957M10,374.744162930855
1957M11,376.846890391051
1957M12,374.749068947372
1958M01,375.010978789931
1958M02,375.091201269646
1958M03,369.39972564348
1958M04,367.931313800024
1958M05,372.045504877107
1958M06,383.413802067512
1958M07,387.219633543529
1958M08,405.134803237458
1958M09,379.411451179201
1958M10,387.59515214721
1958M11,388.82579679995
1958M12,380.727619671393
1959M01,398.353579095861
1959M02,405.60075329377
1959M03,412.828219152388
1959M04,414.593376772696
1959M05,426.239126646723
1959M06,419.90364553792
1959M07,438.466701560815
1959M08,450.112134876074
1959M09,438.744455091431
1959M10,435.813844604041
1959M11,447.540616128664
1959M12,452.851067934395
1960M01,457.483843032566
1960M02,459.04456429771
1960M03,425.103019943469
1960M04,476.653524384216
1960M05,476.747613622876
1960M06,482.237349939727
1960M07,510.006296674812
1960M08,490.909274363564
1960M09,484.86842796524
1960M10,488.60415924539
1960M11,480.897916441563
1960M12,483.029278236308
